,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Sao Miguel Do Araguaia,BR,-13.28,-50.16,96.15,17,52,5.55,broken clouds
127,Columbus,US,39.96,-83.0,79.0,83,90,10.29,overcast clouds
128,Jacksonville,US,30.33,-81.66,95.0,63,75,9.17,broken clouds
129,Karatau,KZ,43.17,70.47,74.89,24,0,11.07,clear sky
130,Bengkulu,ID,-3.8,102.27,75.81,90,95,6.4,overcast clouds
131,Stornoway,GB,58.21,-6.39,55.4,76,75,28.86,broken clouds
132,Kem,RU,64.96,34.58,54.63,84,0,10.07,clear sky
133,Pevek,RU,69.7,170.31,34.99,90,76,8.59,broken clouds
134,Klaksvik,FO,62.23,-6.59,50.0,100,47,17.22,scattered clouds
135,Hamilton,US,39.18,-84.53,84.99,66,20,12.75,few clouds
136,Iqaluit,CA,63.75,-68.51,48.2,66,90,6.93,overcast clouds
137,Morro Bay,US,35.37,-120.85,84.99,53,1,10.29,clear sky
138,Carnarvon,AU,-24.87,113.63,62.6,93,0,11.41,clear sky
139,Paramonga,PE,-10.67,-77.83,65.17,70,19,13.49,few clouds
140,Harrison,US,30.41,-89.04,91.4,55,40,10.29,scattered clouds
141,Tabou,CI,4.42,-7.35,75.85,88,100,10.29,light rain
142,Atasu,KZ,48.68,71.64,52.88,65,39,17.2,scattered clouds
143,Arraial Do Cabo,BR,-22.97,-42.03,80.6,73,3,17.22,clear sky
144,Ayorou,NE,14.73,0.92,90.34,47,24,6.35,few clouds
145,Portsoy,GB,57.68,-2.69,59.0,63,0,15.01,clear sky
146,Porto Belo,BR,-27.16,-48.55,71.6,83,7,12.75,clear sky
147,Kodiak,US,57.79,-152.41,51.8,66,75,3.36,broken clouds
148,Carinhanha,BR,-14.3,-43.77,87.44,26,84,9.48,broken clouds
149,Bulungu,CD,-4.55,18.6,80.31,60,30,1.88,scattered clouds
150,Kunming,CN,25.04,102.72,68.0,100,75,3.96,moderate rain
151,Amga,RU,60.9,131.96,47.97,88,100,2.93,overcast clouds
152,Jamestown,US,42.1,-79.24,77.0,68,1,6.93,clear sky
153,Tambacounda,SN,13.75,-13.76,84.2,70,40,11.41,scattered clouds
154,Mar Del Plata,AR,-38.0,-57.56,55.99,62,75,6.93,broken clouds
155,Te Anau,NZ,-45.42,167.72,45.48,83,100,10.02,light rain
156,Beringovskiy,RU,63.05,179.32,47.48,72,100,11.72,overcast clouds
157,Lorengau,PG,-2.02,147.27,81.77,77,99,5.5,overcast clouds
158,Camacha,PT,33.08,-16.33,73.4,69,20,10.29,few clouds
159,Chokurdakh,RU,70.63,147.92,37.56,78,95,6.49,overcast clouds
160,Abu Samrah,SY,35.3,37.18,83.8,15,0,2.26,clear sky
161,Tessalit,ML,20.2,1.01,82.8,50,100,15.82,overcast clouds
162,Tongchuan,CN,35.08,109.09,65.82,38,0,4.79,clear sky
163,Dikson,RU,73.51,80.55,40.01,96,17,11.7,few clouds
164,Seydi,TM,39.48,62.91,77.94,18,0,9.62,clear sky
165,Maragogi,BR,-9.01,-35.22,74.93,79,42,10.56,scattered clouds
166,Amapa,BR,1.0,-52.0,93.0,38,20,4.85,few clouds
167,Bonavista,CA,48.65,-53.11,66.99,69,21,8.99,few clouds
168,Clyde River,CA,70.47,-68.59,42.8,81,75,9.17,broken clouds
169,Richmond Hill,CA,43.87,-79.44,81.0,47,31,8.99,scattered clouds
170,Poya,NC,-21.35,165.15,61.93,72,0,5.3,clear sky
171,Alamosa,US,37.47,-105.87,78.8,16,1,9.17,clear sky
172,Mehamn,NO,71.04,27.85,59.0,58,0,12.75,clear sky
173,Yerofey Pavlovich,RU,53.97,121.97,53.53,76,100,6.93,overcast clouds
174,Georgetown,MY,5.41,100.34,80.6,88,20,1.12,few clouds
175,Kavieng,PG,-2.57,150.8,82.0,79,100,7.36,overcast clouds
176,Provideniya,RU,64.38,-173.3,41.0,60,90,2.24,overcast clouds
177,Gallup,US,35.53,-108.74,87.8,9,1,4.21,clear sky
178,Sakakah,SA,29.97,40.21,96.8,8,20,8.05,few clouds
179,Male,MV,4.17,73.51,80.6,94,75,17.22,broken clouds
180,Monywa,MM,22.12,95.13,84.54,69,97,2.73,overcast clouds
181,Castro,BR,-24.79,-50.01,75.47,55,0,9.6,clear sky
182,Giyani,ZA,-23.3,30.72,68.32,54,0,4.38,clear sky
183,Belmonte,BR,-15.86,-38.88,75.2,73,40,5.82,scattered clouds
184,Cidreira,BR,-30.18,-50.21,59.9,76,63,11.79,broken clouds
185,Leningradskiy,RU,69.38,178.42,34.75,93,100,1.99,overcast clouds
186,Torbay,CA,47.67,-52.73,68.0,63,75,17.22,broken clouds
