City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Santa Cruz,BO,2020-08-31 17:24:31,-17.8,-63.17,77.0,50,75,14.99
149,Cheyenne,US,2020-08-31 17:25:51,41.14,-104.82,60.8,36,1,18.34
150,Jinotega,NI,2020-08-31 17:25:51,13.09,-86.0,68.0,88,40,5.41
151,Korla,CN,2020-08-31 17:25:51,41.76,86.15,78.01,60,0,3.0
152,Mandalgovi,MN,2020-08-31 17:25:52,45.76,106.27,49.98,81,30,10.89
153,Ingham,US,2020-08-31 17:25:52,42.6,-84.38,75.99,53,40,9.17
154,Lerwick,GB,2020-08-31 17:25:52,60.15,-1.15,55.4,76,20,10.29
155,Barra Patuca,HN,2020-08-31 17:25:52,15.8,-84.28,87.3,63,3,8.77
156,Codrington,AU,2020-08-31 17:25:52,-38.27,141.97,38.71,83,68,7.81
157,Chuy,UY,2020-08-31 17:25:53,-33.7,-53.46,53.19,67,100,9.33
158,Bilma,NE,2020-08-31 17:25:53,18.69,12.92,99.27,24,0,3.09
159,Claremont,US,2020-08-31 17:25:53,34.1,-117.72,78.01,64,1,5.82
160,Lagoa,PT,2020-08-31 17:25:53,39.05,-27.98,71.22,73,96,10.11
161,Caronport,CA,2020-08-31 17:25:54,50.45,-105.82,59.0,33,20,24.16
162,Gardner,US,2020-08-31 17:25:54,42.58,-72.0,72.0,43,75,3.36
163,Bonavista,CA,2020-08-31 17:25:54,48.65,-53.11,64.99,74,77,18.99
164,Vestmanna,FO,2020-08-31 17:25:54,62.16,-7.17,53.6,76,89,19.46
165,Barra Do Corda,BR,2020-08-31 17:25:55,-5.5,-45.25,102.97,16,0,7.94
166,Ahar,IR,2020-08-31 17:24:06,38.48,47.07,67.98,44,0,6.6
167,Resplendor,BR,2020-08-31 17:25:55,-19.33,-41.26,91.31,37,46,3.36
168,Thompson,CA,2020-08-31 17:25:55,55.74,-97.86,53.6,71,75,12.75
169,Padang,ID,2020-08-31 17:25:55,-0.95,100.35,78.44,79,89,3.18
170,Ostrovnoy,RU,2020-08-31 17:24:46,68.05,39.51,46.49,89,7,6.38
171,Beisfjord,NO,2020-08-31 17:25:56,68.38,17.6,48.2,81,75,26.4
172,Batagay-Alyta,RU,2020-08-31 17:25:56,67.8,130.41,43.11,82,97,2.8
173,Grand Gaube,MU,2020-08-31 17:25:56,-20.01,57.66,72.0,76,8,8.99
174,Itarema,BR,2020-08-31 17:25:56,-2.92,-39.92,88.3,47,0,19.93
175,Ocampo,MX,2020-08-31 17:25:57,21.65,-101.5,69.67,55,77,14.45
176,Kamenka,RU,2020-08-31 17:25:57,51.32,42.77,72.0,49,0,6.13
177,Dongsheng,CN,2020-08-31 17:25:57,39.82,109.98,61.79,40,13,4.9
178,Mantua,IT,2020-08-31 17:22:35,45.17,10.78,69.01,83,100,6.02
179,Siocon,PH,2020-08-31 17:25:57,7.71,122.14,78.4,84,27,3.76
180,Bereda,ES,2020-08-31 17:25:58,43.27,-7.54,75.0,44,65,7.0
181,Nioro,GM,2020-08-31 17:25:58,13.35,-15.75,84.36,78,58,7.4
182,Conde,BR,2020-08-31 17:25:58,-7.26,-34.91,84.2,58,75,18.34
183,Coihaique,CL,2020-08-31 17:21:09,-45.58,-72.07,42.8,70,20,3.36
184,Honiara,SB,2020-08-31 17:25:58,-9.43,159.95,73.4,100,40,2.24
185,Sisimiut,GL,2020-08-31 17:25:59,66.94,-53.67,47.97,70,0,15.21
186,Zhigansk,RU,2020-08-31 17:22:07,66.77,123.37,45.46,89,9,4.99
